iter	Passed	Remaining
0	57	57407
1	57	28794
2	57	19255
3	58	14481
4	58	11617
5	58	9707
6	58	8345
7	59	7320
8	59	6527
9	59	5891
10	59	5370
11	59	4935
12	60	4568
13	60	4254
14	60	3984
15	60	3747
16	61	3536
17	61	3349
18	61	3183
19	61	3031
20	62	2894
21	62	2769
22	62	2655
23	62	2550
24	62	2455
25	63	2366
26	63	2283
27	63	2207
28	63	2135
29	63	2069
30	64	2006
31	64	1947
32	64	1893
33	64	1841
34	65	1792
35	65	1746
36	65	1703
37	65	1662
38	65	1622
39	66	1585
40	66	1550
41	66	1516
42	66	1484
43	66	1453
44	67	1424
45	67	1396
46	67	1369
47	67	1343
48	67	1319
49	68	1295
50	68	1272
51	68	1250
52	68	1229
53	69	1216
54	69	1197
55	69	1178
56	70	1160
57	70	1142
58	70	1125
59	70	1109
60	71	1094
61	71	1079
62	71	1064
63	71	1049
64	71	1034
65	72	1020
66	72	1007
67	72	994
68	72	981
69	72	969
70	73	956
71	73	944
72	73	933
73	73	922
74	73	911
75	74	901
76	74	890
77	74	881
78	74	871
79	74	862
80	75	853
81	75	844
82	75	833
83	75	825
84	75	816
85	76	808
86	76	800
87	76	792
88	76	784
89	76	777
90	77	769
91	77	762
92	77	755
93	77	748
94	77	741
95	78	735
96	78	728
97	78	722
98	78	715
99	78	709
100	79	703
101	79	697
102	79	691
103	79	685
104	79	680
105	80	675
106	80	669
107	80	664
108	80	659
109	80	654
110	81	648
111	81	643
112	81	638
113	81	634
114	81	630
115	82	625
116	82	620
117	82	615
118	82	611
119	82	607
120	82	602
121	83	598
122	83	593
123	83	590
124	83	585
125	83	582
126	84	577
127	84	573
128	84	570
129	84	566
130	84	562
131	85	559
132	85	555
133	85	552
134	85	548
135	85	545
136	86	541
137	86	538
138	86	535
139	86	532
140	86	529
141	86	525
142	87	522
143	87	519
144	87	516
145	87	513
146	87	510
147	88	507
148	88	504
149	88	501
150	88	498
151	88	495
152	89	493
153	89	490
154	89	487
155	89	484
156	89	482
157	90	479
158	90	477
159	90	474
160	90	471
161	90	468
162	90	466
163	91	464
164	91	461
165	91	459
166	91	456
167	91	454
168	91	452
169	92	450
170	92	447
171	92	445
172	92	443
173	92	441
174	93	439
175	93	437
176	93	435
177	93	433
178	93	431
179	94	429
180	94	427
181	94	425
182	94	423
183	94	421
184	95	419
185	95	417
186	95	415
187	95	413
188	95	411
189	96	409
190	96	407
191	96	405
192	96	403
193	96	402
194	97	400
195	97	398
196	97	396
197	97	395
198	97	393
199	97	391
200	98	390
201	98	388
202	98	386
203	98	385
204	98	383
205	99	381
206	99	380
207	99	378
208	99	377
209	99	375
210	99	373
211	100	372
212	100	370
213	100	369
214	100	368
215	101	366
216	101	365
217	101	363
218	101	362
219	101	360
220	101	359
221	102	357
222	102	356
223	102	355
224	102	353
225	102	352
226	103	350
227	103	349
228	103	348
229	103	346
230	103	345
231	103	344
232	104	342
233	104	341
234	104	340
235	104	338
236	104	337
237	105	336
238	105	335
239	105	333
240	105	332
241	105	331
242	106	330
243	106	329
244	106	327
245	106	326
246	106	325
247	106	324
248	107	322
249	107	321
250	107	320
251	107	319
252	107	318
253	108	317
254	108	316
255	108	314
256	108	313
257	108	313
258	109	311
259	109	310
260	109	309
261	109	308
262	109	307
263	109	306
264	110	305
265	110	304
266	110	303
267	110	302
268	110	301
269	111	300
270	111	299
271	111	298
272	111	297
273	111	296
274	111	295
275	112	294
276	112	293
277	112	292
278	112	291
279	112	290
280	113	289
281	113	288
282	113	287
283	113	286
284	113	285
285	114	284
286	114	283
287	114	282
288	114	281
289	114	281
290	114	280
291	115	279
292	115	278
293	115	277
294	115	276
295	115	275
296	116	274
297	116	274
298	116	273
299	116	272
300	116	271
301	117	270
302	117	269
303	117	269
304	117	268
305	117	267
306	118	266
307	118	265
308	118	264
309	118	263
